Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D11, D12, D13, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",D_DO-35_SOD27_P7.62mm_Horizontal,78,1N914,
J1,PinSocket_1x05_P2.00mm_Horizontal,1,Conn_01x05,
OLED DISPLAY1,SSD1306-0.91-OLED-4pin-128x32,1,~,
"SW1, SW10, SW11, SW12, SW13, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW4, SW5, SW59, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW71, SW72, SW73, SW74, SW75, SW76, SW77, SW78, SW79, SW8, SW80, SW81, SW82, SW83, SW86, SW87, SW88, SW89, SW9, SW90, SW91, SW92, SW93, SW94, SW95, SW96",SW_Cherry_MX_1.00u_PCB,62,SW_Push,
"SW100_1.25, SW103_1.25, SW104_1.25, SW105_1.25, SW85_1.25, SW99_1.25",SW_Cherry_MX_1.25u_PCB,6,SW_Push,
"SW101, SW102, SW97_2.75",SW_Cherry_MX_2.75u_PCB,3,SW_Push,
"SW106_1.5, SW58_1.5, SW98_1.5",SW_Cherry_MX_1.50u_PCB,3,SW_Push,
SW30_2,SW_Cherry_MX_2.00u_PCB,1,SW_Push,
SW71_1.75,SW_Cherry_MX_1.75u_PCB,1,SW_Push,
SW84_ENTER1,SW_Cherry_MX_ISOEnter_PCB,1,SW_Push,
SWVOL1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
