Designator,Mid X,Mid Y,Rotation,Layer
A1,588.6724782736612,-147.76416018678322,7.5,top
D1,469.10625,-139.54125,90.0,top
D10,701.9090084381594,-106.66331860183865,105.0,top
D100,504.825,-246.6975,90.0,top
D101,557.2125,-246.6975,90.0,top
D102,706.5700074381593,-216.21391860183866,105.0,top
D103,729.5711164381594,-210.05078860183866,105.0,top
D104,752.5722244381593,-203.88766060183866,105.0,top
D105,775.5733334381594,-197.72453160183863,105.0,top
D106,803.1746634381593,-190.32877960183865,105.0,top
D107,450.05625,-139.54125,90.0,top
D108,775.4500004381593,-86.73000060183865,105.0,top
D11,720.3098944381593,-101.73281560183865,105.0,top
D12,738.7107804381593,-96.80231260183865,105.0,top
D13,757.1116694381593,-91.87180960183865,105.0,top
D17,447.675,-170.4975,90.0,top
D18,466.725,-170.4975,90.0,top
D19,485.775,-170.4975,90.0,top
D2,488.15625,-139.54125,90.0,top
D20,504.825,-170.4975,90.0,top
D21,523.875,-170.4975,90.0,top
D22,542.925,-170.4975,90.0,top
D23,561.975,-170.4975,90.0,top
D24,654.6464424381594,-151.23875060183866,105.0,top
D25,673.0473314381593,-146.30824760183864,105.0,top
D26,691.4482174381593,-141.37774460183866,105.0,top
D27,709.8491054381593,-136.44724160183864,105.0,top
D28,728.2499914381593,-131.51673960183865,105.0,top
D29,746.6508774381593,-126.58623560183865,105.0,top
D3,507.20625,-139.54125,90.0,top
D30,783.4526524381594,-116.72523060183865,105.0,top
D4,526.25625,-139.54125,90.0,top
D5,545.30625,-139.54125,90.0,top
D58,457.2,-189.5475,90.0,top
D59,476.25,-189.5475,90.0,top
D6,564.35625,-139.54125,90.0,top
D60,495.3,-189.5475,90.0,top
D61,514.35,-189.5475,90.0,top
D62,533.4,-189.5475,90.0,top
D63,552.45,-189.5475,90.0,top
D64,650.3765034381594,-172.10488760183864,105.0,top
D65,668.7773894381594,-167.17438460183865,105.0,top
D66,687.1782784381594,-162.24388160183864,105.0,top
D67,705.5791634381593,-157.31338060183865,105.0,top
D68,723.9800514381593,-152.38287760183866,105.0,top
D69,742.3809394381593,-147.45237360183864,105.0,top
D7,646.7063454381594,-121.45482760183864,105.0,top
D70,760.7818244381593,-142.52187260183865,105.0,top
D71,461.9625,-208.5975,90.0,top
D72,481.0125,-208.5975,90.0,top
D73,500.0625,-208.5975,90.0,top
D74,519.1125,-208.5975,90.0,top
D75,538.1625,-208.5975,90.0,top
D76,557.2125,-208.5975,90.0,top
D77,659.9072274381593,-189.27314860183864,105.0,top
D78,678.3081144381594,-184.34264760183865,105.0,top
